ein,name,mission,city,state
0,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,SEE SCHEDULE O,BOSTON,MA
1,PHIPPS HOUSES,"TO PROVIDE, PROMOTE AND DEVELOP AFFORDABLE HOUSING FOR LOW AND MODERATE INCOME RESIDENTS.",NEW YORK,NY
2,SOUTH NASSAU COMMUNITIES HOSPITAL INC,"COMMITTED TO PROVIDING QUALITY, COMPREHENSIVE AND EASILY ACCESSIBLE HEALTHCARE SERVICES TO ALL RESIDENTS OF THE SOUTH SHORE COMMUNITIES IN A MANNER THAT REFLECTS A CULTURE OF EXCELLENCE, PERSONALIZED, CULTURALLY COMPETENT CARE AND INNOVATION.",OCEANSIDE,NY
3,PLUMBERS LOCAL UNION NO 1,"TO PROVIDES BENEFITS, INCLUDING MEDICAL, SURGICAL, HOSPITALIZATION, DEATH, DISABILITY, DENTAL, PRESCRIPTION AND VISION BENEFITS TO ELIGIBLE MEMBERS OF PLUMBERS UNION LOCAL NO. 1.",LONG ISLAND CITY,NY
4,NORTH SHORE UNIVERSITY HOSPITAL,North Shore strives to improve the health of the communities it serves and is committed to providing the highest quality of care for the community regardless of ability to pay.,WESTBURY,NY
5,ADELPHI UNIVERSITY,"ADELPHI UNIVERSITY IS DEDICATED TO TRANSFORMING STUDENTS' LIVES THROUGH SMALL CLASSES, HANDS-ON LEARNING AND INNOVATIVE PROGRAMS SUPPORTING ACADEMIC AND CAREER SUCCESS.",GARDEN CITY,NY
6,THE BROOKLYN HOSPITAL CENTER,"THE BROOKLYN HOSPITAL CENTER IS DEDICATED TO PROVIDING OUTSTANDING HEALTH SERVICES, EDUCATION, AND RESEARCH TO KEEP THE PEOPLE OF BROOKLYN AND GREATER NEW YORK HEALTHY.",BROOKLYN,NY
7,POLY PREP COUNTRY DAY SCHOOL,"THROUGH A PROGRESSIVE LIBERAL ARTS CURRICULUM AND AN ENRICHING CO-CURRICULAR PROGRAM, THE SCHOOL EDUCATES THE WHOLE STUDENT: MIND, BODY AND, ABOVE ALL CHARACTER.",BROOKLYN,NY
8,PRATT INSTITUTE,TO EDUCATE ARTISTS AND CREATIVE PROFESSIONALS TO BE RESPONSIBLE CONTRIBUTORS TO SOCIETY.,BROOKLYN,NY
9,ST JOHN'S UNIVERSITY NEW YORK,"ST. JOHN'S UNIVERSITY IS A CATHOLIC, VINCENTIAN, METROPOLITAN, AND (CONTINUED ON SCHEDULE O)",JAMAICA,NY
10,Associated Universities Inc,"COLLABORATES WITH SCIENTIFIC COMMUNITY & RESEARCH SPONSORS TO PLAN, BUILD & OPERATE CUTTING-EDGE FACILITIES. WE CULTIVATE EXCELLENCE, DELIVER VALUE,ENHANCE EDUCATION & ENGAGE PUBLIC.",Washington,DC
11,HOFSTRA UNIVERSITY,INSTITUTION OF HIGHER LEARNING,HEMPSTEAD,NY
12,Huntington Hospital Association,Huntington strives to Improve the health of the communities it serves and is committed to providing the highest quality of care for the community regardless of ability to pay.,WESTBURY,NY
13,BROOKDALE HOSPITAL MEDICAL CENTER,WE PROVIDE GREATER ACCESS TO HIGH QUALITY MEDICAL CARE AND KEEP OUR COMMUNITIES HEALTHY THROUGH AN INTEGRATED CARE SYSTEM THAT RESPECTS THE DIVERSITY OF OUR COMMUNITIES AND ADDRESSES BOTH THE HEALTH NEEDS AND UNIQUE FACTORS THAT SHAPE THEM.,BROOKLYN,NY
14,FLUSHING HOSPITAL MEDICAL CENTER,ACUTE CARE HOSPITAL,FLUSHING,NY
